# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_2/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=0		POL=1		POL=0		POL=0		POL=0		POL=5	
1	1.000e+01	3.162e+00	3.100e+01	5.568e+00	1.100e+01	3.317e+00	2.000e+01	4.472e+00	1.600e+01	4.000e+00	4.000e+00	2.000e+00
2	2.000e+01	4.472e+00	3.200e+01	5.657e+00	1.100e+01	3.317e+00	1.000e+01	3.162e+00	1.600e+01	4.000e+00	1.000e+01	3.162e+00
3	1.600e+01	4.000e+00	2.900e+01	5.385e+00	1.100e+01	3.317e+00	1.000e+01	3.162e+00	1.100e+01	3.317e+00	1.800e+01	4.243e+00
4	1.800e+01	4.243e+00	3.300e+01	5.745e+00	1.200e+01	3.464e+00	1.300e+01	3.606e+00	2.100e+01	4.583e+00	8.000e+00	2.828e+00
5	2.400e+01	4.899e+00	3.500e+01	5.916e+00	1.400e+01	3.742e+00	1.300e+01	3.606e+00	1.400e+01	3.742e+00	1.500e+01	3.873e+00
6	2.200e+01	4.690e+00	4.300e+01	6.557e+00	1.500e+01	3.873e+00	1.300e+01	3.606e+00	1.600e+01	4.000e+00	6.000e+00	2.449e+00
7	2.300e+01	4.796e+00	3.800e+01	6.164e+00	1.000e+01	3.162e+00	1.500e+01	3.873e+00	2.000e+01	4.472e+00	1.000e+01	3.162e+00
8	2.900e+01	5.385e+00	4.400e+01	6.633e+00	1.400e+01	3.742e+00	1.300e+01	3.606e+00	1.300e+01	3.606e+00	1.000e+00	1.000e+00
9	2.300e+01	4.796e+00	4.700e+01	6.856e+00	1.700e+01	4.123e+00	1.300e+01	3.606e+00	1.600e+01	4.000e+00	1.000e+00	1.000e+00
10	2.100e+01	4.583e+00	5.200e+01	7.211e+00	9.000e+00	3.000e+00	7.000e+00	2.646e+00	1.800e+01	4.243e+00	1.000e+00	1.000e+00
11	1.800e+01	4.243e+00	5.300e+01	7.280e+00	1.900e+01	4.359e+00	1.700e+01	4.123e+00	1.800e+01	4.243e+00	2.000e+00	1.414e+00
12	2.600e+01	5.099e+00	4.800e+01	6.928e+00	2.000e+01	4.472e+00	8.000e+00	2.828e+00	1.800e+01	4.243e+00	2.000e+00	1.414e+00
13	3.100e+01	5.568e+00	5.400e+01	7.348e+00	2.200e+01	4.690e+00	1.100e+01	3.317e+00	1.600e+01	4.000e+00	2.000e+00	1.414e+00
14	3.100e+01	5.568e+00	6.100e+01	7.810e+00	1.200e+01	3.464e+00	1.100e+01	3.317e+00	1.200e+01	3.464e+00	1.000e+00	1.000e+00
15	2.700e+01	5.196e+00	6.300e+01	7.937e+00	1.500e+01	3.873e+00	1.300e+01	3.606e+00	1.300e+01	3.606e+00	0.000e+00	0.000e+00
16	2.200e+01	4.690e+00	6.300e+01	7.937e+00	2.000e+01	4.472e+00	8.000e+00	2.828e+00	2.100e+01	4.583e+00	0.000e+00	0.000e+00
17	3.300e+01	5.745e+00	4.900e+01	7.000e+00	2.100e+01	4.583e+00	1.300e+01	3.606e+00	2.600e+01	5.099e+00	2.000e+00	1.414e+00
18	2.600e+01	5.099e+00	6.200e+01	7.874e+00	2.300e+01	4.796e+00	1.400e+01	3.742e+00	1.200e+01	3.464e+00	1.000e+00	1.000e+00
19	4.100e+01	6.403e+00	5.600e+01	7.483e+00	1.400e+01	3.742e+00	2.200e+01	4.690e+00	1.800e+01	4.243e+00	0.000e+00	0.000e+00
20	2.300e+01	4.796e+00	7.400e+01	8.602e+00	2.100e+01	4.583e+00	1.600e+01	4.000e+00	1.800e+01	4.243e+00	0.000e+00	0.000e+00
